gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedPoints,shorthandedGoals,opponentAbbrev,pim,toi,season
2024021078,MTL,H,2025-03-18,0,0,{'default': 'Canadiens'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,1,16,0,0,OTT,0,15:23,2024
2024021060,MTL,H,2025-03-15,1,0,{'default': 'Canadiens'},{'default': 'Panthers'},1,0,1,1,0,0,2,19,0,0,FLA,0,16:45,2024
2024021039,MTL,R,2025-03-12,1,1,{'default': 'Canadiens'},{'default': 'Kraken'},2,1,1,1,0,0,1,11,0,0,SEA,0,10:08,2024
2024020995,MTL,R,2025-03-06,0,0,{'default': 'Canadiens'},{'default': 'Oilers'},0,-1,0,0,0,0,4,13,0,0,EDM,0,10:18,2024
2024020968,MTL,H,2025-03-03,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,0,0,0,0,0,1,14,0,0,BUF,0,13:03,2024
2024020953,MTL,R,2025-03-01,0,1,{'default': 'Canadiens'},{'default': 'Sabres'},1,0,0,1,0,0,2,14,0,0,BUF,0,11:25,2024
2024020934,MTL,H,2025-02-27,0,1,{'default': 'Canadiens'},{'default': 'Sharks'},1,0,0,0,0,0,3,15,0,0,SJS,0,12:58,2024
2024020920,MTL,H,2025-02-25,1,2,{'default': 'Canadiens'},{'default': 'Hurricanes'},3,1,0,2,0,0,3,16,0,0,CAR,0,15:15,2024
2024020901,MTL,R,2025-02-22,1,0,{'default': 'Canadiens'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,1,1,1,0,2,19,0,0,OTT,2,13:04,2024
2024020891,MTL,H,2025-02-09,0,0,{'default': 'Canadiens'},{'default': 'Lightning'},0,-1,0,0,0,0,1,13,0,0,TBL,2,11:13,2024
2024020876,MTL,H,2025-02-08,0,0,{'default': 'Canadiens'},{'default': 'Devils'},0,-2,0,0,0,0,1,14,0,0,NJD,0,12:44,2024
2024020861,MTL,R,2025-02-05,0,0,{'default': 'Canadiens'},{'default': 'Kings'},0,-1,0,0,0,0,0,14,0,0,LAK,0,11:33,2024
2024020858,MTL,R,2025-02-04,0,0,{'default': 'Canadiens'},{'default': 'Sharks'},0,0,0,0,0,0,1,15,0,0,SJS,0,13:45,2024
2024020837,MTL,R,2025-02-02,0,0,{'default': 'Canadiens'},{'default': 'Ducks'},0,-1,0,0,0,0,1,12,0,0,ANA,0,10:33,2024
2024020813,MTL,H,2025-01-30,0,0,{'default': 'Canadiens'},{'default': 'Wild'},0,-1,0,0,0,0,1,16,0,0,MIN,0,15:55,2024
2024020800,MTL,H,2025-01-28,0,0,{'default': 'Canadiens'},{'default': 'Jets'},0,-1,0,0,0,0,1,16,0,0,WPG,0,13:47,2024
2024020779,MTL,H,2025-01-25,0,0,{'default': 'Canadiens'},{'default': 'Devils'},0,-2,0,0,0,0,4,20,0,0,NJD,0,16:58,2024
2024020762,MTL,R,2025-01-23,0,1,{'default': 'Canadiens'},{'default': 'Red Wings'},1,0,0,0,0,0,2,19,0,0,DET,0,16:57,2024
2024020749,MTL,H,2025-01-21,0,2,{'default': 'Canadiens'},{'default': 'Lightning'},2,0,0,1,0,0,3,18,0,0,TBL,0,14:38,2024
2024020738,MTL,H,2025-01-19,1,0,{'default': 'Canadiens'},{'default': 'Rangers'},1,1,0,0,1,1,3,21,0,0,NYR,0,20:41,2024
2024020726,MTL,H,2025-01-18,1,1,{'default': 'Canadiens'},{'default': 'Maple Leafs'},2,-2,1,1,0,0,2,18,0,0,TOR,0,15:35,2024
2024020715,MTL,R,2025-01-16,0,0,{'default': 'Canadiens'},{'default': 'Stars'},0,1,0,0,0,0,1,19,0,0,DAL,0,16:13,2024
2024020704,MTL,R,2025-01-14,1,0,{'default': 'Canadiens'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",1,3,0,0,0,0,3,17,0,0,UTA,2,14:19,2024
2024020673,MTL,H,2025-01-11,1,0,{'default': 'Canadiens'},{'default': 'Stars'},1,0,1,1,0,0,3,16,0,0,DAL,0,17:00,2024
2024020591,MTL,R,2024-12-31,0,0,{'default': 'Canadiens'},{'default': 'Golden Knights'},0,-1,0,0,0,0,0,13,0,0,VGK,0,14:03,2024
2024020580,MTL,R,2024-12-29,0,1,{'default': 'Canadiens'},{'default': 'Lightning'},1,1,0,0,0,0,3,18,0,0,TBL,0,15:29,2024
2024020566,MTL,R,2024-12-28,0,0,{'default': 'Canadiens'},{'default': 'Panthers'},0,2,0,0,0,0,1,17,0,0,FLA,0,16:35,2024
2024020551,MTL,R,2024-12-23,0,0,{'default': 'Canadiens'},{'default': 'Blue Jackets'},0,0,0,0,0,0,0,6,0,0,CBJ,0,6:15,2024
2024020533,MTL,H,2024-12-21,1,0,{'default': 'Canadiens'},{'default': 'Red Wings'},1,-1,1,1,0,0,6,15,0,0,DET,0,16:03,2024
2024020522,MTL,R,2024-12-20,1,0,{'default': 'Canadiens'},{'default': 'Red Wings'},1,-1,1,1,1,0,3,15,0,0,DET,2,13:37,2024
2024020497,MTL,H,2024-12-17,3,0,{'default': 'Canadiens'},{'default': 'Sabres'},3,-1,3,3,1,0,5,15,0,0,BUF,0,13:12,2024
2024020482,MTL,R,2024-12-14,0,0,{'default': 'Canadiens'},{'default': 'Jets'},0,-1,0,0,0,0,7,16,0,0,WPG,0,16:13,2024
2024020460,MTL,H,2024-12-12,0,0,{'default': 'Canadiens'},{'default': 'Penguins'},0,-2,0,0,0,0,1,16,0,0,PIT,2,16:14,2024
2024020445,MTL,H,2024-12-09,1,1,{'default': 'Canadiens'},{'default': 'Ducks'},2,0,1,1,0,0,2,18,0,0,ANA,0,13:50,2024
2024020430,MTL,H,2024-12-07,0,0,{'default': 'Canadiens'},{'default': 'Capitals'},0,0,0,0,0,0,4,15,0,0,WSH,0,16:54,2024
2024020411,MTL,H,2024-12-05,1,0,{'default': 'Canadiens'},{'default': 'Predators'},1,0,1,1,0,0,3,17,0,0,NSH,0,17:05,2024
2024020398,MTL,H,2024-12-03,1,0,{'default': 'Canadiens'},{'default': 'Islanders'},1,-1,1,1,0,0,2,19,0,0,NYI,0,17:27,2024
2023020449,CBJ,R,2023-12-14,1,0,{'default': 'Blue Jackets'},{'default': 'Maple Leafs'},1,2,0,0,0,0,1,9,0,0,TOR,0,7:41,2023
2023020420,CBJ,H,2023-12-10,0,1,{'default': 'Blue Jackets'},{'default': 'Panthers'},1,-3,0,0,0,0,4,18,0,0,FLA,0,13:11,2023
2023020371,CBJ,R,2023-12-03,0,0,{'default': 'Blue Jackets'},{'default': 'Bruins'},0,0,0,0,0,0,1,15,0,0,BOS,0,16:28,2023
2023020354,CBJ,H,2023-12-01,1,0,{'default': 'Blue Jackets'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,1,1,0,0,2,17,0,0,OTT,0,12:40,2023
2023020337,CBJ,H,2023-11-29,1,0,{'default': 'Blue Jackets'},{'default': 'Canadiens'},1,-2,0,0,0,0,2,15,0,0,MTL,0,13:03,2023
2023020321,CBJ,H,2023-11-27,0,1,{'default': 'Blue Jackets'},{'default': 'Bruins'},1,-1,0,1,0,0,5,19,0,0,BOS,2,16:49,2023
2023020318,CBJ,R,2023-11-26,0,0,{'default': 'Blue Jackets'},{'default': 'Hurricanes'},0,-1,0,0,0,0,0,19,0,0,CAR,0,15:06,2023
2023020296,CBJ,R,2023-11-24,0,0,{'default': 'Blue Jackets'},{'default': 'Devils'},0,0,0,0,0,0,2,14,0,0,NJD,0,12:10,2023
2023020280,CBJ,H,2023-11-22,1,0,{'default': 'Blue Jackets'},{'default': 'Blackhawks'},1,1,0,0,0,0,2,18,0,0,CHI,2,15:59,2023
2023020263,CBJ,R,2023-11-18,0,0,{'default': 'Blue Jackets'},{'default': 'Capitals'},0,-1,0,0,0,0,2,15,0,0,WSH,2,12:21,2023
2023020243,CBJ,H,2023-11-16,0,0,{'default': 'Blue Jackets'},{'default': 'Coyotes'},0,-1,0,0,0,0,0,15,0,0,ARI,0,12:36,2023
2023020230,CBJ,H,2023-11-14,0,0,{'default': 'Blue Jackets'},{'default': 'Penguins'},0,-2,0,0,0,0,4,22,0,0,PIT,0,21:36,2023
2023020225,CBJ,R,2023-11-12,0,0,{'default': 'Blue Jackets'},{'default': 'Rangers'},0,0,0,0,0,0,3,20,0,0,NYR,0,17:50,2023
2023020210,CBJ,R,2023-11-11,1,0,{'default': 'Blue Jackets'},{'default': 'Red Wings'},1,0,0,0,0,0,4,16,0,0,DET,0,18:17,2023
2023020063,CBJ,H,2023-10-20,0,0,{'default': 'Blue Jackets'},{'default': 'Flames'},0,1,0,0,0,0,1,19,0,0,CGY,0,18:59,2023
2023020035,CBJ,H,2023-10-16,0,0,{'default': 'Blue Jackets'},{'default': 'Red Wings'},0,-1,0,0,0,0,2,18,0,0,DET,0,14:15,2023
2023020022,CBJ,H,2023-10-14,0,1,{'default': 'Blue Jackets'},{'default': 'Rangers'},1,0,0,0,0,0,1,21,0,0,NYR,0,15:44,2023
2023020011,CBJ,H,2023-10-12,1,0,{'default': 'Blue Jackets'},{'default': 'Flyers'},1,-2,0,0,0,0,5,20,0,0,PHI,0,19:11,2023
2022021121,CBJ,R,2023-03-21,0,2,{'default': 'Blue Jackets'},{'default': 'Capitals'},2,2,0,0,0,0,2,21,0,0,WSH,0,18:23,2022
2022021110,CBJ,R,2023-03-19,0,2,{'default': 'Blue Jackets'},{'default': 'Golden Knights'},2,1,0,0,0,0,3,20,0,0,VGK,0,17:32,2022
2022021094,CBJ,R,2023-03-17,1,1,{'default': 'Blue Jackets'},{'default': 'Ducks'},2,-2,1,1,0,0,8,21,0,0,ANA,0,20:32,2022
2022021089,CBJ,R,2023-03-16,0,0,{'default': 'Blue Jackets'},{'default': 'Kings'},0,0,0,0,0,0,3,18,0,0,LAK,0,17:47,2022
2022021074,CBJ,R,2023-03-14,0,2,{'default': 'Blue Jackets'},{'default': 'Sharks'},2,2,0,0,0,0,6,20,0,0,SJS,0,19:25,2022
2022021045,CBJ,H,2023-03-11,1,0,{'default': 'Blue Jackets'},{'default': 'Blues'},1,-1,1,1,0,0,4,18,0,0,STL,0,18:24,2022
2022021013,CBJ,R,2023-03-07,1,0,{'default': 'Blue Jackets'},{'default': 'Penguins'},1,-1,0,0,0,0,4,23,0,0,PIT,2,19:08,2022
2022020994,CBJ,R,2023-03-04,1,0,{'default': 'Blue Jackets'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,-1,1,1,0,0,4,18,0,0,OTT,0,16:50,2022
2022020984,CBJ,H,2023-03-03,1,1,{'default': 'Blue Jackets'},{'default': 'Kraken'},2,0,1,1,0,0,2,22,0,0,SEA,0,18:49,2022
